,0,Y,2,3,4,5,6,7,8,X
0,0.311,-0.365,0.327,0.383,-0.519,-0.015,-0.713,0.183,0.515,0.951
1,0.125,0.657,-0.097,-0.341,-0.807,-0.527,-0.027,0.711,0.591,-0.515
2,0.499,-0.307,-0.395,0.067,0.761,-0.147,-0.501,0.015,0.267,0.109
3,-0.337,-0.105,0.455,0.267,-0.091,0.427,0.037,-0.221,-0.455,0.157
4,-0.139,-0.691,-0.287,-0.383,-0.899,0.415,0.899,-0.771,-0.593,-0.049
5,0.299,0.367,-0.505,0.855,0.399,-0.297,-0.883,0.867,0.973,-0.627
6,-0.451,-0.335,0.761,0.725,-0.293,0.469,-0.643,-0.241,-0.459,-0.075
7,-0.231,-0.951,-0.649,0.697,0.977,0.669,-0.985,-0.981,-0.839,0.191
8,-0.349,-0.193,0.141,0.169,-0.373,0.373,0.143,-0.243,-0.381,0.475
9,0.421,-0.403,0.867,0.151,0.597,-0.027,-0.633,0.225,0.369,0.219
10,-0.151,0.679,0.549,0.047,-0.319,-0.395,-0.687,0.433,0.581,-0.797
11,-0.709,-0.385,-0.727,0.505,-0.493,0.755,0.339,-0.447,-0.851,0.637
12,-0.605,-0.747,-0.733,0.619,-0.219,0.957,0.661,-0.971,-0.985,0.105
13,-0.101,0.715,0.545,-0.773,-0.611,-0.413,0.601,0.299,0.543,-0.525
14,0.463,0.845,0.477,-0.623,0.741,-0.789,-0.101,0.313,0.703,-0.469
15,0.507,-0.429,-0.235,0.761,0.139,-0.177,-0.969,0.213,-0.555,0.557
16,0.657,-0.345,-0.469,-0.419,-0.581,-0.277,0.187,0.191,-0.373,0.959
17,0.805,0.735,0.373,-0.597,0.505,-0.839,-0.581,-0.139,0.823,-0.993
18,-0.009,0.365,-0.233,-0.299,-0.291,-0.473,-0.321,-0.193,-0.451,-0.483
19,0.361,0.267,0.847,-0.631,0.189,-0.317,0.443,-0.703,-0.867,-0.691
20,0.191,0.757,0.527,-0.291,0.099,-0.705,-0.787,0.101,0.921,-0.855
21,-0.023,-0.735,-0.315,0.961,-0.703,0.553,-0.561,-0.879,-0.681,0.673
22,-0.755,0.379,-0.499,0.611,0.095,0.551,0.049,-0.013,0.943,-0.953
23,-0.909,-0.171,-0.017,0.767,-0.587,0.925,0.971,-0.545,-0.407,-0.543
24,-0.847,0.227,0.907,0.271,-0.693,0.869,0.585,0.171,0.663,0.533
25,0.189,0.133,-0.005,-0.083,-0.599,-0.225,0.147,0.809,0.709,0.739
26,0.761,-0.943,-0.221,-0.097,-0.049,-0.173,-0.869,-0.809,-0.657,0.967
27,-0.531,-0.137,0.181,0.835,0.467,0.529,0.215,0.493,0.599,0.369
28,-0.431,0.949,-0.999,-0.329,0.831,-0.045,0.801,0.445,0.653,-0.613
29,0.613,-0.315,0.425,0.423,0.319,-0.159,-0.935,0.491,0.713,0.329
